Title,Type,Country,Genre,Watch Status,Rate,Notes
Doom At Your Service  ,Drama ,Korea,Drama,On Going,,
Dororo,Anime,Japan,Shounen,Completed,2,
Dr. Stone,Anime,Japan,Kids,Completed,5,
Dr. Stone S2,Anime,Japan,Kids,Completed,4,
Dr. Stone S3 : New World,Anime,Japan,Kids,Completed,4,
Drawing Closer,Movie,Japan,Romance,Completed,4,
Dua Hati Biru,Movie,Indonesia,Romance,Completed,3,
Dune,Movie,USA,Action,On Going,,
Eggnoid,Movie,Indonesia,Romance,Completed,2,
Elemental,Animation,USA,Kids,Completed,4,
Emergency Declaration,Movie,Korea,Thriller,Completed,4,
Emily In Paris,Series,USA,Drama,On Going,,
Emoji Movie,Animation,USA,Kids,Completed,2,
Encanto,Animation,USA,Kids,Completed,4,
Enterteiner,Drama ,Korea,Drama,Completed,2,
Eternals,Movie,USA,Action,Completed,2,
Exhuma,Movie,Korea,Horor,Completed,4,
Exit,Movie,Korea,Survival,Completed,3,
Exo Next Door,Series,Korea,Romance,Completed,3,
Extra-ordinary You,Drama ,Korea,"Romance, Teenagers",Completed,4,
Extraordinary Attorney ,Drama ,Korea,Drama,On Going,,
Extreme Job,Movie,Korea,Comedy,Completed,4,
F4,Drama ,Thailand,Romance,On Going,,
Fall,Movie,Korea,Survival,Completed,3,
Fantastic Four,Movie,USA,Action,Completed,4,
Fantastic Four 2,Movie,USA,Action,Completed,3,
Fifty Shade Of Grey,Movie,USA,Romance,Completed,3,
Fight For My Way,Drama ,Korea,Romance,Completed,3,
Final Destination,Movie,USA,Thriller,Completed,2,
Final Destination 2,Movie,USA,Thriller,Completed,2,
Finding Nemo,Animation,USA,Kids,Completed,4,
Flipped,Movie,USA,Romance,Completed,3,
Flower Of Evil,Drama ,Korea,Drama,Completed,2,
Food Wars S1,Anime,Japan,Kids,Completed,5,
Food Wars S2,Anime,Japan,Kids,Completed,3,
Food Wars S3,Anime,Japan,Kids,Completed,3,
Food Wars S4,Anime,Japan,Kids,Completed,3,
Friend With Benefits,Anime,USA,Romance,Completed,4,
From London To Bali,Movie,Indonesia,Romance,Completed,3,
From Up On Poppy Hill,Anime,Japan,Kids,Completed,3,
Frozen,Animation,USA,Kids,Completed,5,
Frozen 2,Animation,USA,Kids,Completed,5,
Frozen Fever,Animation,USA,Kids,Completed,5,
Full House,Drama ,Korea,Romance,On Going,0,
Gadis Kretek,Series,Indonesia,Drama,Completed,4,
Galaksi,Movie,Indonesia,Romance,Completed,3,
Geodam,Movie,USA,Survival,Completed,3,
Geostrom,Movie,USA,Survival,Completed,3,
Ghost Doctor ,Drama ,Korea,"Drama, Medical",On Going,,
Goblin,Drama ,Korea,Romance,Completed,5,
Godzila,Movie,USA,Action,On Going,,
Golden Spoon,Drama ,Korea,Drama,Completed,3,
Grave Of The Fireflies,Anime,Japan,Kids,Completed,5,
Grey's Anatomy ,Series,USA,"Drama, Medical",On Going,,
Guardian Of Galaxy,Movie,USA,Action,Completed,4,
Guardians Of The Galaxy Vol 2,Movie,USA,Action,Completed,3,
Guardians Of The Galaxy Vol 3,Movie,USA,Action,Completed,3,
Gudetama : An Eggcellent Adventure ,Series,Japan,Kids,Completed,3,
Habibie Dan Ainun,Movie,Indonesia,Realistic Fiction,Completed,4,
Happines,Drama ,Korea,Survival,Completed,4,
Happy Feet,Movie,USA,Kids,Completed,3,
Harry Potter And The Chamber Of Secrets,Movie,Europe,Fiction,Completed,3,
Harry Potter And The Deathly Hallows,Movie,Europe,Fiction,Completed,4,
Harry Potter And The Goblet Of Fire,Movie,Europe,Fiction,Completed,4,
Harry Potter And The Soecerer's Stone,Movie,Europe,Fiction,Completed,4,
Hataraku Saibo,Anime,Japan,Kids,Completed,5,
Hataraku Saibo Black,Anime,Japan,Kids,Completed,3,
Hawkeye,Series,USA,Action,Completed,3,
Healer,Drama ,Korea,Drama,Completed,3,
